file,line,token
libs/stream-chat-shim/src/utils/getChannel.ts,50,client.channel
libs/stream-chat-shim/src/utils/getChannel.ts,72,channel.watch
libs/stream-chat-shim/src/components/Message/QuotedMessage.tsx,38,polls.fromState
libs/stream-chat-shim/src/components/Message/MessageSimple.tsx,149,polls.fromState
libs/stream-chat-shim/src/components/Message/MessageThreadReplyInChannelButtonIndicator.tsx,22,search
libs/stream-chat-shim/src/components/Message/MessageThreadReplyInChannelButtonIndicator.tsx,32,addError
libs/stream-chat-shim/src/components/Message/MessageThreadReplyInChannelButtonIndicator.tsx,43,findMessage
libs/stream-chat-shim/src/components/Message/hooks/usePinHandler.ts,75,pinMessage
libs/stream-chat-shim/src/components/Message/hooks/usePinHandler.ts,97,unpinMessage
libs/stream-chat-shim/src/components/Message/hooks/useMuteHandler.ts,41,muteUser
libs/stream-chat-shim/src/components/Message/hooks/useMuteHandler.ts,65,unmuteUser
libs/stream-chat-shim/src/components/Message/hooks/useReactionsFetcher.ts,49,queryReactions
libs/stream-chat-shim/src/components/Message/hooks/useFlagHandler.ts,41,flagMessage
libs/stream-chat-shim/src/components/Message/hooks/useReactionHandler.ts,92,sendReaction
libs/stream-chat-shim/src/components/Message/hooks/useReactionHandler.ts,95,deleteReaction
libs/stream-chat-shim/src/components/Message/hooks/useMarkUnreadHandler.ts,31,markUnread
libs/stream-chat-shim/src/components/Message/hooks/useActionHandler.ts,42,sendAction
libs/stream-chat-shim/src/components/MessageInput/QuotedMessagePreview.tsx,138,polls.fromState
libs/stream-chat-shim/src/components/MessageInput/MessageInputFlat.tsx,64,stopAIResponse
libs/stream-chat-shim/src/components/MessageInput/MessageInput.tsx,117,getDraft
libs/stream-chat-shim/src/components/MessageInput/hooks/useSubmitHandler.ts,80,stopTyping
libs/stream-chat-shim/src/components/ChatView/ChatView.tsx,137,client.threads.state
libs/stream-chat-shim/src/components/Channel/Channel.tsx,385,channel.markRead
libs/stream-chat-shim/src/components/Channel/Channel.tsx,484,channel.query
libs/stream-chat-shim/src/components/Channel/Channel.tsx,567,client.on
libs/stream-chat-shim/src/components/Channel/Channel.tsx,568,client.on
libs/stream-chat-shim/src/components/Channel/Channel.tsx,569,client.on
libs/stream-chat-shim/src/components/Channel/Channel.tsx,570,client.on
libs/stream-chat-shim/src/components/Channel/Channel.tsx,571,channel.on
libs/stream-chat-shim/src/components/Channel/Channel.tsx,578,channel.off
libs/stream-chat-shim/src/components/Channel/Channel.tsx,579,client.off
libs/stream-chat-shim/src/components/Channel/Channel.tsx,580,client.off
libs/stream-chat-shim/src/components/Channel/Channel.tsx,581,client.off
libs/stream-chat-shim/src/components/Channel/Channel.tsx,681,channel.query
libs/stream-chat-shim/src/components/Channel/Channel.tsx,714,channel.query
libs/stream-chat-shim/src/components/Channel/Channel.tsx,739,channel.state.loadMessageIntoState
libs/stream-chat-shim/src/components/Channel/Channel.tsx,754,channel.state.loadMessageIntoState
libs/stream-chat-shim/src/components/Channel/Channel.tsx,800,channel.query
libs/stream-chat-shim/src/components/Channel/Channel.tsx,849,channel.state.loadMessageIntoState
libs/stream-chat-shim/src/components/Channel/Channel.tsx,909,client.deleteMessage
libs/stream-chat-shim/src/components/Channel/Channel.tsx,947,channel.sendMessage
libs/stream-chat-shim/src/components/Channel/Channel.tsx,1110,channel.getReplies
libs/stream-chat-shim/src/components/Channel/hooks/useEditMessageHandler.ts,29,client.updateMessage
libs/stream-chat-shim/src/components/MessageList/ScrollToBottomButton.tsx,22,countUnread
libs/stream-chat-shim/src/components/MessageList/ScrollToBottomButton.tsx,54,client.on
